Mamiya 645,0.577
Mamiya ZD,0.721
P 25,0.577
2.8E,0.510
HD2,6.4
Hero3+ black,5.42
HERO4 Silver,7.66
HERO4 Black,5
HERO5 Black,5
Phantom Vision FC200,6
Phantom 3 Pro FC300X,5.5
AEE DV,6
AEE MagiCam SD19 & compatibles,6
Git2,5.57
Mavic Pro FC220,5.64
FC6310,2.73
Canon PowerShot Pro1,3.933
PowerShot Pro1,3.933
Canon PowerShot Pro70,5.47
PowerShot Pro70,5.47
Canon PowerShot G6,4.843
PowerShot G6,4.843
Canon PowerShot G5,4.843
PowerShot G5,4.843
Canon PowerShot G3,4.843
PowerShot G3,4.843
Canon PowerShot G2,4.843
PowerShot G2,4.843
Canon PowerShot G1,4.843
PowerShot G1,4.843
Canon PowerShot G7,4.843
PowerShot G7,4.843
Canon PowerShot G5 X,2.72
PowerShot G5 X (3:2),2.72
Canon PowerShot G5 X 4:3,2.94
PowerShot G5 X (4:3),2.94
Canon PowerShot G5 X 16:9,2.85
PowerShot G5 X (16:9),2.85
Canon PowerShot G7 X,2.72
PowerShot G7 X (3:2),2.72
Canon PowerShot G7 X 4:3,2.94
PowerShot G7 X (4:3),2.94
Canon PowerShot G7 X 16:9,2.85
PowerShot G7 X (16:9),2.85
Canon PowerShot G7 X Mark II,2.72
PowerShot G7 X Mark II (3:2),2.72
Canon PowerShot G7 X Mark II 4:3,2.94
PowerShot G7 X Mark II (4:3),2.94
Canon PowerShot G7 X Mark II 16:9,2.85
PowerShot G7 X Mark II (16:9),2.85
Canon PowerShot G9,4.605
PowerShot G9,4.605
Canon Powershot G9 X,2.72
PowerShot G9 X,2.72
Canon PowerShot G10,4.605
PowerShot G10,4.605
Canon PowerShot G11,4.554
PowerShot G11,4.554
Canon PowerShot G12,4.63
PowerShot G12,4.63
Canon PowerShot G1 X,1.85
PowerShot G1 X,1.85
Canon PowerShot G1 X Mark II,1.93
PowerShot G1 X Mark II,1.93
Canon PowerShot G15,4.65
PowerShot G15,4.65
Canon PowerShot G16,4.67
PowerShot G16,4.67
Canon PowerShot SD550,4.8
PowerShot SD550,4.8
Canon PowerShot SD950 IS,4.7
PowerShot SD950 IS,4.7
Canon DIGITAL IXUS 750,4.8
IXUS 750,4.8
IXY Digital 700,4.8
Canon PowerShot SD500,4.8
PowerShot SD500,4.8
Canon DIGITAL IXUS 700,4.8
IXUS 700,4.8
IXY Digital 600,4.8
Canon PowerShot SD450,6.05
PowerShot SD450,6.05
Canon DIGITAL IXUS 55,6.05
IXUS 55,6.05
Canon PowerShot SD400,6.05
PowerShot SD400,6.05
Canon IXY DIGITAL 55,6.05
IXY 55,6.05
Canon DIGITAL IXUS 50,6.05
IXUS 50,6.05
Canon DIGITAL IXUS 70,6.05
IXUS 70,6.05
Canon PowerShot SD300,6.05
PowerShot SD300,6.05
Canon IXY DIGITAL 50,6.05
IXY 50,6.05
Canon DIGITAL IXUS 40,6.05
IXUS 40,6.05
Canon PowerShot SD200,6.05
PowerShot SD200,6.05
Canon IXY DIGITAL 40,6.05
IXY 40,6.05
Canon DIGITAL IXUS 30,6.05
IXUS 30,6.05
Canon PowerShot S200,6.5
PowerShot S200,6.5
Canon DIGITAL IXUS v2,6.5
IXUS v2,6.5
Canon IXY DIGITAL 200a,6.5
IXY 200a,6.5
Canon PowerShot SD110,6.5
PowerShot SD110,6.5
Canon DIGITAL IXUS II,6.5
IXUS II,6.5
Canon IXY DIGITAL 30,6.5
IXY 30,6.5
Canon PowerShot SD100,6.5
PowerShot SD100,6.5
Canon DIGITAL IXUS i,6.144
IXUS i,6.144
Canon PowerShot SD10,6.144
PowerShot SD10,6.144
Canon PowerShot S500,4.843
PowerShot S500,4.843
Canon DIGITAL IXUS 500,4.843
IXUS 500,4.843
Canon IXY DIGITAL 500,4.843
IXY 500,4.843
Canon PowerShot S410,4.843
PowerShot S410,4.843
Canon DIGITAL IXUS 430,4.843
IXUS 430,4.843
Canon IXY DIGITAL 450,4.843
IXY 450,4.843
Canon PowerShot S400,4.843
PowerShot S400,4.843
Canon DIGITAL IXUS 400,4.843
IXUS 400,4.843
Canon IXY DIGITAL 400,4.843
IXY 400,4.843
Canon PowerShot S80,4.843
PowerShot S80,4.843
Canon PowerShot S70,4.843
PowerShot S70,4.843
Canon PowerShot S60,4.843
PowerShot S60,4.843
Canon PowerShot S50,4.843
PowerShot S50,4.843
Canon PowerShot S45,4.843
PowerShot S45,4.843
Canon PowerShot S40,4.843
PowerShot S40,4.843
Canon PowerShot S30,4.843
PowerShot S30,4.843
Canon PowerShot A610,4.8
PowerShot A610,4.8
Canon PowerShot A620,4.8
PowerShot A620,4.8
Canon PowerShot A520,6.05
PowerShot A520,6.05
Canon PowerShot A510,6.05
PowerShot A510,6.05
Canon PowerShot A95,4.85
PowerShot A95,4.85
Canon PowerShot A80,4.85
PowerShot A80,4.85
Canon PowerShot A85,6.500
PowerShot A85,6.500
Canon PowerShot A75,6.500
PowerShot A75,6.500
Canon PowerShot A70,6.500
PowerShot A70,6.500
Canon PowerShot A60,6.500
PowerShot A60,6.500
Canon PowerShot A40,6.500
PowerShot A40,6.500
Canon PowerShot A30,6.500
PowerShot A30,6.500
Canon PowerShot A20,6.500
PowerShot A20,6.500
Canon PowerShot A10,6.500
PowerShot A10,6.500
Canon PowerShot S2 IS,6.0
PowerShot S2 IS,6.0
Canon PowerShot S1 IS,6.56
PowerShot S1 IS,6.56
Canon PowerShot S5 IS,6.0
PowerShot S5 IS,6.0
Canon PowerShot Pro90 IS,5.28
PowerShot Pro90 IS,5.28
Canon DIGITAL IXUS 80 IS,6.02
IXUS 80 IS,6.02
Canon PowerShot SX1 IS,5.5
PowerShot SX1 IS,5.5
Canon PowerShot S90,4.67
PowerShot S90,4.67
Canon PowerShot A650 IS,4.67712
PowerShot A650 IS,4.67712
Canon PowerShot SX150 IS,5.62
PowerShot SX150 IS,5.62
Canon PowerShot SX10 IS,5.6
PowerShot SX10 IS,5.6
Canon PowerShot SX130 IS,5.62
PowerShot SX130 IS,5.62
Canon PowerShot SX220 HS,5.6
PowerShot SX220 HS,5.6
Canon PowerShot SX230 HS,5.6
PowerShot SX230 HS,5.6
Canon PowerShot A720 IS,6.03
PowerShot A720 IS,6.03
Canon PowerShot S120,4.62
PowerShot S120,4.62
Canon PowerShot A640,4.79
PowerShot A640,4.79
Canon PowerShot SX260 HS,5.56
PowerShot SX260 HS,5.56
Canon IXUS 220 HS,5.58
IXUS 220 HS,5.58
Canon PowerShot S95,4.67
PowerShot S95,4.67
Canon PowerShot S100,4.62
PowerShot S100,4.62
Canon PowerShot A4000 IS,5.6
PowerShot A4000 IS,5.6
Canon PowerShot ELPH 110 HS,5.58
Powershot ELPH 110 HS,5.58
Canon IXUS 125 HS,5.58
IXUS 125 HS,5.58
Canon PowerShot SX510 HS,5.58
PowerShot SX510 HS,5.58
Canon PowerShot S110,4.62
PowerShot S110,4.62
Canon PowerShot SD1100 IS,6.02
PowerShot SD1100 IS,6.02
Canon PowerShot SX160 IS,5.6
PowerShot SX160 IS,5.6
Canon PowerShot A495,5.39
PowerShot A495,5.39
Canon PowerShot A490,5.39
PowerShot A490,5.39
Canon PowerShot SX30 IS,5.581
PowerShot SX30 IS,5.581
EX-Z750,4.8
EX-P700,4.65
EX-P600,4.65
EX-Z4,6.05
EX-Z3,6.05
EX-Z55,6.05
EX-Z40,6.05
EX-Z30,6.05
QV-4000,4.843
QV-3500EX,4.8
QV-3000EX,4.8
EX-FH20,5.68
FinePix F11,4.5
FinePix F10,4.5
FinePix S9000,4.48
FinePix S9500,4.48
FinePix S9600,4.48
FinePix S5500,6.491
FinePix S5100,6.491
FinePix S7000,4.487
FinePix S20Pro,4.487
FinePix S602 ZOOM,4.487
FinePix F601 ZOOM,4.487
FinePix F810,4.9
FinePix F710,4.5
FinePix E550,4.5
FinePix 3800,6.3333333
FinePix S304,6.3333333
